id,capacitacion
24, v encuentro de graduados de la utm ciberseguridad enfoques y tecnologias asociadas redaccion de articulos cientificos metodologia para la organizacion del proceso de investigacion cientifica procesamiento de lenguaje natural y mineria de texto ingenieria de ontologias ccna modulos iti essentials
25, evaluaciones seguras en moodle con safe exam browser curso de capacitacion docente en linea sobre gestion del aprendizaje y guias de estudio seminario claves para una educacion superior en linea de calidad pasar notas utilizando el libro de calificaciones de la plataforma virtual configuracion del libro de calificaciones del aula virtual utm transact sql basico intermedio y avanzado introduccion a iot programacion paso a paso con java
26, seminario internacional de ciencia de datos curso de capacitacion docente en linea sobre gestion del aprendizaje y guias de estudio v encuentro de graduados de la utm curso de estrategias innovadoras de aprendizajes ii clase invertida y aprendizaje orientados curso de python for machine learning curso de data analysis overview jornadas academicas cientificas desarrollada en el ii encuentro de graduados de la universidad tecnia de manabi curso de gestion de proyectos de investigacion con pmbok
27, ciudades cognitivas python for machine learning data analysis overview curso de seguridad informatica curso de estadistica con r para la investigacion curso de ingles curso de ingles curso de italiano
28, ciberseguridad enfoques y tecnologias asociadas primera convencion cientifica internacional de la utm primera convencion cientifica internacional de la utm iii seminario de ciencia y tecnologia iii seminario de ciencia y tecnologia fundamentos teoricos tecnologicos de las criptomonedas redaccion de articulos cientificos metodologias para la organizacion del proceso de investigacion cientifica
29, nada
30, mantenimiento avanzado de sistemas de informacion pruebas del software gestion de proyectos de investigacion con pmbok fundamentos teoricos y tecnologicos de las criptomonedas cyberseguridad enfoques y tecnologias asociadas participacion como par autoevaluador de carrera redaccion de articulos cientificos metodologia para la organizacion del proceso de investigacion cientifica procesamiento de lenguaje natural y mineria de texto
31, introduccion a terminal y linea de comandos mantenimiento avanzado de sistemas de informacion pruebas del software jornadas academicas cientificas suficiencia manejo de plataformas y entornos virtuales de aprendizaje fundamentos teoricos tecnologicos de las criptomonedas ciberseguridad enfoques y tecnologias asociadas certificado de suficiencia en ingles suficiencia informatica basica
32, medida de visibilidad e impacto de la produccion cientifica visualizacion de grandes volumenes de datos ciberseguridad pedagogia y didactica software libre para la educacion una experiencia mundial de escuela linux seminario taller metodologia para la organizacion del proceso de investigacion tecnologias tcp ip lenguaje natural y mineria de texto
33, curso de capacitacion docente en linea sobre gestion del aprendizaje y guias de estudio v encuentro de graduados de la utm ciudades cognitivas y diseno de universidades cognitivas python for machine learning data analysis overview mantenimiento avanzado de sistemas de informacion pruebas del software iii encuentro de graduados de la universidad tecnica de manabi gestion de proyectos de investigacion con pmbok
