generador,n_words,topico,npmi
BERTopic,15,5,0.187892814696633
BERTopic,15,6,0.2432376452291706
BERTopic,15,7,0.2333998711786315
BERTopic,15,-1,0.1319462724735037
BERTopic,19,0,0.1599409311488899
BERTopic,19,1,0.1191719193908006
BERTopic,19,2,0.2818540505734328
BERTopic,19,3,0.1821701416821485
BERTopic,19,4,0.2552908629804699
BERTopic,19,5,0.1972424195111722
BERTopic,19,6,0.222357498924462
BERTopic,19,7,0.3520299160334549
BERTopic,19,8,0.2358110193782463
BERTopic,19,-1,0.2269633740791015
BERTopic,24,0,0.1587551413506049
BERTopic,24,1,0.1368100645647039
BERTopic,24,2,0.1718198897899883
BERTopic,24,3,0.2337441858074105
BERTopic,24,4,0.2982043076406664
BERTopic,24,5,0.1993021665350333
BERTopic,24,6,0.2068398212808143
BERTopic,24,7,0.3145594860124336
BERTopic,24,8,0.2427688072181075
BERTopic,24,-1,0.2284568478291602
BERTopic,50,0,0.1414633718874114
BERTopic,50,1,0.1945549723308665
BERTopic,50,2,0.122835828702335
BERTopic,50,3,0.3105824680872284
BERTopic,50,4,0.2976473803088721
BERTopic,50,5,0.183860579347674
BERTopic,50,6,0.2045187666731885
BERTopic,50,7,0.2275552501294203
BERTopic,50,-1,0.3745282854604343
BERTopic,6,0,0.1490126871348066
BERTopic,6,1,0.3150066141975862
BERTopic,6,2,0.2393552469299142
BERTopic,6,3,0.3731491027621371
BERTopic,6,4,0.4075928307108982
BERTopic,6,5,0.3058595054902404
BERTopic,6,6,0.3142360077554326
BERTopic,6,-1,0.5218654188028198
BERTopic,9,0,0.1153495532878915
BERTopic,9,1,0.2736170438901505
BERTopic,9,2,0.1312228982055111
BERTopic,9,3,0.3188821029377353
BERTopic,9,4,0.2789171241145609
BERTopic,9,5,0.2032133004688528
BERTopic,9,6,0.4589115723027664
BERTopic,9,7,0.2862272970311339
BERTopic,9,-1,0.4248026964115043
LDA,15,0,0.1508955628148043
LDA,15,1,0.0814558728956696
LDA,15,2,0.092095165098014
LDA,19,0,0.1398010902012794
LDA,19,1,0.0527284119492872
LDA,19,2,0.0694687952388459
LDA,24,0,0.1040227115708695
LDA,24,1,0.0636359630134263
LDA,24,2,0.0553766192473451
LDA,50,0,0.0852748098789642
LDA,50,1,0.0837420939104763
LDA,50,2,0.074882419747937
LDA,6,0,0.2021037302530619
LDA,6,1,0.1438673105274121
LDA,6,2,0.1321285262687053
LDA,9,0,0.1876526055137942
LDA,9,1,0.0974441187593973
LDA,9,2,0.1003261933729997
T2V,15,0,0.0843638270630482
T2V,15,1,0.0888639276413273
T2V,15,2,0.0844685966033123
T2V,19,0,0.0731824963908503
T2V,19,1,0.0726184990391698
T2V,24,0,0.0835843396586092
T2V,24,1,0.082425913884964
T2V,50,0,0.0716062119631807
T2V,50,1,0.0711012718070407
T2V,50,2,0.066968791324296
T2V,6,0,0.1628821523896774
T2V,6,1,0.19439406655557
T2V,6,2,0.1836120817794528
T2V,9,0,0.1615728142212938
T2V,9,1,0.1492211793619291
